verbe	lemme
a	avoir
accroupie	accroupir
accroupie	accroupir
accroupie	accroupir
achevant	achever
affligé	affliger
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
agenouillé	agenouiller
ALBÂTRE	avoir
allaitant	allaiter
amené	amener
animée	animer
appelées	appeler
applique	appliquer
applique	appliquer
apportant	apporter
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
appuyé	appuyer
armé	armer
armé	armer
armé	armer
assailli	assaillir
assailli	assaillir
assis	asseoir
assis	asseoir
assis	asseoir
assis	asseoir
assise	asseoir
assise	asseoir
assise	asseoir
assise	asseoir
assise	asseoir
assistant	assister
assommant	assommer
attachant	attacher
attaquant	attaquer
attaqué	attaquer
attaquée	attaquer
aveuglé	aveugler
barrée	barrer
barrée	barrer
barrée	barrer
barrée	barrer
barrée	barrer
blessé	blesser
blessé	blesser
blessé	blesser
blessé	blesser
blessée	blesser
blessée	blesser
blessée	blesser
blessée	blesser
blessée	blesser
boire	boire
boire	boire
brandissant	brandir
brisant	briser
brisée	briser
brûlant	brûler
brûlant	brûler
brûlant	brûler
brûlée	brûler
casquée	casquer
casquée	casquer
casquée	casquer
casquée	casquer
casquées	casquer
célébrant	célébrer
cherchant	chercher
cherchant	chercher
chevauchant	chevaucher
chevauchant	chevaucher
chevauchant	chevaucher
combat	combattre
combatrant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
combattant	combattre
conduisant	conduire
conduisant	conduire
conduisant	conduire
conduisant	conduire
conduisant	conduire
conduisant	conduire
conduisant	conduire
conduisant	conduire
conduisant	conduire
conduit	conduire
conduit	conduire
conduit	conduire
conduite	conduire
conduits	conduire
copie	copier
couché	coucher
couchée	coucher
coupée	couper
couronnant	couronner
couronnant	couronner
couronnant	couronner
couronnant	couronner
couronné	couronner
couronné	couronner
couronné	couronner
couronné	couronner
couronné	couronner
couronné	couronner
couronné	couronner
couronné	couronner
couronné	couronner
couronnée	couronner
dansant	danser
dansant	danser
dansant	danser
danser	danser
danser	danser
danser	danser
découvrant	découvrir
défendant	défendre
demandant	demander
demander	demander
dénommée	dénommer
désarmant	désarmer
distribuant	distribuer
dite	dire
divinisé	diviniser
divinisées	diviniser
domptant	dompter
dompté	dompter
dompté	dompter
donnant	donner
donnant	donner
donnant	donner
dormant	dormir
drapée	draper
drapée	draper
drapée	draper
drapées	draper
drapés	draper
dressant	dresser
dressant	dresser
du	devoir
écoute	écouter
écrasant	écraser
écrivant	écrire
écrivant	écrire
écrivant	écrire
égorgeant	égorger
embrassant	embrasser
emportant	emporter
enchaînant	enchaîner
enchaîné	enchaîner
enchaîné	enchaîner
enchaîné	enchaîner
endormi	dormir
endormie	dormir
enfermé	enfermer
enlevant	enlever
enlevant	enlever
enlevant	enlever
enlevant	enlever
enlevant	enlever
enlevé	enlever
enlevée	enlever
enlevée	enlever
enlevépar	enlever
enseignant	enseigner
entraînant	entraîner
évoquant	évoquer
fabriquant	fabriquer
fabriquant	fabriquer
faisant	faire
faisant	faire
faisant	faire
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figure	figurer
figurée	figurer
fleuri	fleurir
forgeant	forger
forgeant	forger
foudroyant	foudroyer
foulant	fouler
fulminant	fulminer
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
gravées	graver
habillant	habiller
habillant	habiller
idéalisée	idéaliser
imitée	imiter
jouant	jouer
jouant	jouer
jouant	jouer
jouant	jouer
jouant	jouer
jouer	jouer
KORAI	être
KORAI	être
KORAI	être
KORAI	être
lauré	laurer
lauré	laurer
lauré	laurer
léchant	lécher
léchant	lécher
levant	lever
liée	lier
luttant	lutter
luttant	lutter
